Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Macaw Aviary,C11,Sun conure,CKRE2129,na,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2069,na,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2141,na,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRF675,na,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRE2061,na,Semi Adult,
Conure,Macaw Aviary,C11,Sun conure,CKRF673,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2060,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2145,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE 2066,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2142,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2128,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2118,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2127,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE2067,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun & Jandaya,CKRE2136,na,Semi Adult,
Conure,Macaw Aviary,C12,Sun conure,CKRE1881,na,Semi Adult,
Conure,Macaw Aviary,C13,Sun conure,CKRE2062,na,Semi Adult,
Conure,Macaw Aviary,C13,Sun conure,CKRE2068,na,Semi Adult,
Conure,Macaw Aviary,C13,Sun conure,CKRE2063,na,Semi Adult,
Conure,Macaw Aviary,C13,Sun Conure,CKRF 927,Female,Semi Adult,
Conure,Macaw Aviary,C13,Sun Conure,CKRF 060,Female,Semi Adult,
Lorykeet,Macaw Aviary,C16,Swainson Lory,CKR F 656,,Semi Adult,
Lorykeet,Macaw Aviary,C16,Swainson Lory,CKR F 659,,Semi Adult,
Lorykeet,Macaw Aviary,C16,Swainson Lory,CKR F 661,,Semi Adult,
Lorykeet,Macaw Aviary,C16,Swainson Lory,CKR F 658,,Semi Adult,
Lorykeet,Macaw Aviary,C16,Red collar lorikeet,CKR E 2052,,Semi Adult,
Lorikeet,Lory Aviary,C17,Green Napped Lorikeet,ACE IND 070,Female,Semi Adult,
